priority_rank,sector_name,urgency_level,mean_risk_score,primary_recommendation,secondary_recommendation,full_action_package
13,Abhanpur (A-4),MODERATE (TIER 2),0.471,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
14,Dharsiwa (D-5),MODERATE (TIER 2),0.4681,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
15,Abhanpur (A-5),MODERATE (TIER 2),0.4636,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
16,Tilda (E-5),MODERATE (TIER 2),0.4566,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
17,Raipur Rural (C-5),MODERATE (TIER 2),0.4504,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
18,Dharsiwa (D-4),STABLE (TIER 3),0.4457,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
19,Dharsiwa (D-1),STABLE (TIER 3),0.444,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
20,Dharsiwa (D-2),STABLE (TIER 3),0.4396,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
21,Tilda (E-4),STABLE (TIER 3),0.4315,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
22,Tilda (E-1),STABLE (TIER 3),0.4301,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
23,Dharsiwa (D-3),STABLE (TIER 3),0.4285,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
24,Tilda (E-3),STABLE (TIER 3),0.4208,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
25,Tilda (E-2),STABLE (TIER 3),0.4146,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
